"status","frontend_method","frontend_endpoint","backend_method","backend_endpoint","backend_controller","backend_action","frontend_files"
"unmatched","GET","/api/Documentos/{id}/pdf","","","","","Facturacion.Frontend/Pages/Documentos.cshtml.cs:271; Facturacion.Frontend/Pages/Index.cshtml.cs:111"
"unmatched","GET","/api/Documentos{queryString}","","","","","Facturacion.Frontend/Pages/Documentos.cshtml.cs:88; Facturacion.Frontend/Pages/Index.cshtml.cs:77"
"unmatched","GET","/api/inventario/productos-asignados?sucursalId={sucursalId}","","","","","Facturacion.Frontend/Pages/AsignarProductosSucursal.cshtml.cs:131"
"unmatched","GET","/api/inventario/productos-disponibles?sucursalId={sucursalId}","","","","","Facturacion.Frontend/Pages/AsignarProductosSucursal.cshtml.cs:102"
"unmatched","GET","/api/MovimientosInventario/empresa/{empresaId}{queryString}","","","","","Facturacion.Frontend/Pages/Movimientos.cshtml.cs:79"
"unmatched","GET","/api/recepciones","","","","","Facturacion.Frontend/Pages/Recepciones.cshtml.cs:43"
"unmatched","GET","/api/recepciones/{id}","","","","","Facturacion.Frontend/Pages/Recepciones.cshtml.cs:73"
"unmatched","GET","/api/recepciones/{id}/xml","","","","","Facturacion.Frontend/Pages/Recepciones.cshtml.cs:103"
"unmatched","GET","/api/reportes/documentos-emitidos/resumen?fechaInicio={fechaInicio}&fechaFin={fechaFin}&tipoDocumento={tipoDocumento}","","","","","Facturacion.Frontend/Pages/ReporteDocumentosEmitidos.cshtml.cs:74"
"unmatched","GET","/api/reportes/documentos-emitidos?fechaInicio={fechaInicio}&fechaFin={fechaFin}&tipoDocumento={tipoDocumento}","","","","","Facturacion.Frontend/Pages/ReporteDocumentosEmitidos.cshtml.cs:43"
"unmatched","GET","/api/reportes/documentos-recibidos/resumen?fechaInicio={fechaInicio}&fechaFin={fechaFin}&estadoRespuesta={estadoRespuesta}","","","","","Facturacion.Frontend/Pages/ReporteDocumentosRecibidos.cshtml.cs:74"
"unmatched","GET","/api/reportes/documentos-recibidos?fechaInicio={fechaInicio}&fechaFin={fechaFin}&estadoRespuesta={estadoRespuesta}","","","","","Facturacion.Frontend/Pages/ReporteDocumentosRecibidos.cshtml.cs:43"
"unmatched","GET","/api/reportes/gastos/graficos?fechaInicio={fechaInicio}&fechaFin={fechaFin}&categoriaGasto={categoriaGasto}","","","","","Facturacion.Frontend/Pages/ReporteGastos.cshtml.cs:105"
"unmatched","GET","/api/reportes/gastos/resumen?fechaInicio={fechaInicio}&fechaFin={fechaFin}&categoriaGasto={categoriaGasto}","","","","","Facturacion.Frontend/Pages/ReporteGastos.cshtml.cs:74"
"unmatched","GET","/api/reportes/gastos/top-proveedores?fechaInicio={fechaInicio}&fechaFin={fechaFin}&categoriaGasto={categoriaGasto}","","","","","Facturacion.Frontend/Pages/ReporteGastos.cshtml.cs:136"
"unmatched","GET","/api/reportes/productos/resumen?categoriaId={categoriaId}&estado={estado}&stockBajo={stockBajo}","","","","","Facturacion.Frontend/Pages/ReporteProductos.cshtml.cs:75"
"unmatched","GET","/api/reportes/ventas/grafico?fechaInicio={fechaInicio}&fechaFin={fechaFin}&agruparPor={agruparPor}","","","","","Facturacion.Frontend/Pages/ReporteVentas.cshtml.cs:74"
"unmatched","GET","/api/reportes/ventas/resumen?fechaInicio={fechaInicio}&fechaFin={fechaFin}","","","","","Facturacion.Frontend/Pages/ReporteVentas.cshtml.cs:43"
"unmatched","GET","/api/reportes/ventas/top-clientes?fechaInicio={fechaInicio}&fechaFin={fechaFin}","","","","","Facturacion.Frontend/Pages/ReporteVentas.cshtml.cs:105"
